event_id,series,family,release_ts_utc,release_date_et,surprise_abs,deadband_pass,prior_sign,notes,sigma,surprise_z,z_signed
25e5a7187a52,TSLA_EPS,eps,2020-10-21 20:38:49+00:00,2020-10-21,0.05,True,1.0,post_market,,,
a832b0a26d2f,INTC_EPS,eps,2020-10-22 20:07:11+00:00,2020-10-22,0.0,False,1.0,post_market,,,
cc5d38f57974,GOOGL_EPS,eps,2020-10-29 20:01:25+00:00,2020-10-29,0.26,True,1.0,post_market,,,
cf5f2b8391ba,META_EPS,eps,2020-10-29 20:07:58+00:00,2020-10-29,0.49,True,1.0,post_market,,,
ad9bbf8c205a,AAPL_EPS,eps,2020-10-29 20:30:32+00:00,2020-10-29,0.03,True,1.0,post_market,,,
64b92919dd40,AMZN_EPS,eps,2020-10-29 20:42:03+00:00,2020-10-29,0.24,True,1.0,post_market,,,
cebe64f35f58,US_CORE_PCE_MOM,inflation,2020-10-30 12:30:00+00:00,2020-10-30,0.0,False,-1.0,,,,
166e3e476bfa,QCOM_EPS,eps,2020-11-04 21:06:31+00:00,2020-11-04,0.27,True,1.0,post_market,,,
09866c9a35d5,US_NFP,labour,2020-11-06 13:30:00+00:00,2020-11-06,43.0,True,-1.0,,,,
b4c60e21247d,US_UNEMP_RATE,labour,2020-11-06 13:30:00+00:00,2020-11-06,-0.8,True,1.0,,,,
c3639a2fbaf4,US_CPI_MOM,inflation,2020-11-12 13:30:00+00:00,2020-11-12,-0.1,True,-1.0,,,,
2a449f695ab9,US_CORE_CPI_MOM,inflation,2020-11-12 13:30:00+00:00,2020-11-12,-0.2,True,-1.0,,,,
d80b3e891a68,AMAT_EPS,eps,2020-11-12 21:04:10+00:00,2020-11-12,0.08,True,1.0,post_market,,,
6d2cd034a77a,CSCO_EPS,eps,2020-11-12 21:09:04+00:00,2020-11-12,0.06,True,1.0,post_market,,,
cf65f03f49ee,US_PPI_MOM,inflation,2020-11-13 13:30:00+00:00,2020-11-13,0.1,True,-1.0,,,,
8ba9112a5a40,US_CORE_PPI_MOM,inflation,2020-11-13 13:30:00+00:00,2020-11-13,-0.1,True,-1.0,,,,
4d1174c5a3e2,NVDA_EPS,eps,2020-11-18 21:21:51+00:00,2020-11-18,0.009,True,1.0,post_market,,,
90171c7afbb6,US_CORE_PCE_MOM,inflation,2020-11-25 13:30:00+00:00,2020-11-25,0.0,False,-1.0,,,,
e62a6bd6e467,US_UNEMP_RATE,labour,2020-12-04 13:30:00+00:00,2020-12-04,-0.1,True,1.0,,2.206354459283458,-0.04532363309949585,-0.04532363309949585
eb6b7e759b33,US_NFP,labour,2020-12-04 13:30:00+00:00,2020-12-04,-235.0,True,-1.0,,4104.826935044481,-0.05724967306020016,0.05724967306020016
c56a448c3c60,ADBE_EPS,eps,2020-12-10 13:04:03+00:00,2020-12-10,0.15,True,1.0,pre_market,,,
74ab94f0bfd0,US_CORE_CPI_MOM,inflation,2020-12-10 13:30:00+00:00,2020-12-10,0.1,True,-1.0,,0.21602468994692867,0.46291004988627577,-0.46291004988627577
e61038c5bbd4,US_CPI_MOM,inflation,2020-12-10 13:30:00+00:00,2020-12-10,0.1,True,-1.0,,0.15165750888103102,0.659380473395787,-0.659380473395787
13855b773355,AVGO_EPS,eps,2020-12-10 21:19:56+00:00,2020-12-10,0.01,True,1.0,post_market,,,
a2674c55e178,US_CORE_PPI_MOM,inflation,2020-12-11 13:30:00+00:00,2020-12-11,-0.1,True,-1.0,,,,
667b15988c16,US_PPI_MOM,inflation,2020-12-11 13:30:00+00:00,2020-12-11,0.0,False,-1.0,,,,
60a869549854,US_CORE_PCE_MOM,inflation,2020-12-23 13:30:00+00:00,2020-12-23,-0.1,True,-1.0,,,,
29c992791ca7,MU_EPS,eps,2021-01-07 21:00:45+00:00,2021-01-07,0.09,True,1.0,post_market,,,
1da841f7a82c,US_UNEMP_RATE,labour,2021-01-08 13:30:00+00:00,2021-01-08,-0.1,True,1.0,,2.1029457797054474,-0.04755234346270529,-0.04755234346270529
c1ad250e316c,US_NFP,labour,2021-01-08 13:30:00+00:00,2021-01-08,-200.0,True,-1.0,,3841.97943154059,-0.05205649940707836,0.05205649940707836
4e4393a43a05,US_CORE_CPI_MOM,inflation,2021-01-13 13:30:00+00:00,2021-01-13,0.0,False,-1.0,,0.19760470401187075,0.0,-0.0
d5284fa961e1,US_CPI_MOM,inflation,2021-01-13 13:30:00+00:00,2021-01-13,0.0,False,-1.0,,0.13972762620115436,0.0,-0.0
7eeedb4663b9,US_CORE_PPI_MOM,inflation,2021-01-15 13:30:00+00:00,2021-01-15,0.0,False,-1.0,,0.2875181153713044,0.0,-0.0
6ae7952aa28c,US_PPI_MOM,inflation,2021-01-15 13:30:00+00:00,2021-01-15,-0.1,True,-1.0,,0.31885210782848317,-0.31362502409359005,0.31362502409359005
87fb718153da,NFLX_EPS,eps,2021-01-19 21:02:11+00:00,2021-01-19,-0.02,True,1.0,post_market,,,
7ab184dea966,INTC_EPS,eps,2021-01-21 21:04:38+00:00,2021-01-21,0.41,True,1.0,post_market,,,
93bc8fb3052f,TXN_EPS,eps,2021-01-26 21:06:53+00:00,2021-01-26,0.52,True,1.0,post_market,,,
bd20f392de84,META_EPS,eps,2021-01-27 21:08:08+00:00,2021-01-27,0.64,True,1.0,post_market,,,
15f821da8809,AAPL_EPS,eps,2021-01-27 21:30:35+00:00,2021-01-27,0.26,True,1.0,post_market,,,
ccf08bc3c8bb,TSLA_EPS,eps,2021-01-27 22:11:12+00:00,2021-01-27,-0.08,True,1.0,post_market,,,
f2812e612079,US_CORE_PCE_MOM,inflation,2021-01-29 13:30:00+00:00,2021-01-29,0.2,True,-1.0,,0.08366600265340757,2.390457218668787,-2.390457218668787
42817d3b458b,GOOGL_EPS,eps,2021-02-02 21:01:27+00:00,2021-02-02,0.33,True,1.0,post_market,,,
9ba6abdf1710,AMZN_EPS,eps,2021-02-02 21:30:08+00:00,2021-02-02,0.35,True,1.0,post_market,,,
4a3346d59c1b,QCOM_EPS,eps,2021-02-03 21:02:45+00:00,2021-02-03,0.07,True,1.0,post_market,,,
518d0b8dbdc1,US_NFP,labour,2021-02-05 13:30:00+00:00,2021-02-05,-36.0,True,-1.0,,3619.1099931968283,-0.00994719698148785,0.00994719698148785
f8213b405daf,US_UNEMP_RATE,labour,2021-02-05 13:30:00+00:00,2021-02-05,-0.4,True,1.0,,2.006418272871907,-0.19936022583539176,-0.19936022583539176
d71fdb2bd5bc,CSCO_EPS,eps,2021-02-09 21:11:01+00:00,2021-02-09,0.03,True,1.0,post_market,,,
57e6db75fa0c,US_CPI_MOM,inflation,2021-02-10 13:30:00+00:00,2021-02-10,0.0,False,-1.0,,0.13093073414159542,0.0,-0.0
6c1d0d7a6ca2,US_CORE_CPI_MOM,inflation,2021-02-10 13:30:00+00:00,2021-02-10,-0.2,True,-1.0,,0.18468119248354137,-1.0829473067097715,1.0829473067097715
908ce4b1c73d,US_CORE_PPI_MOM,inflation,2021-02-17 13:30:00+00:00,2021-02-17,1.0,True,-1.0,,0.2627691364061218,3.8056219755369365,-3.8056219755369365
641cb2aff5dd,US_PPI_MOM,inflation,2021-02-17 13:30:00+00:00,2021-02-17,0.9,True,-1.0,,0.2943920288775949,3.0571479921904086,-3.0571479921904086
d1074237b341,AMAT_EPS,eps,2021-02-18 21:05:19+00:00,2021-02-18,0.11,True,1.0,post_market,,,
b4459bffe091,NVDA_EPS,eps,2021-02-24 21:22:27+00:00,2021-02-24,-0.0025,True,1.0,post_market,,,
51ae6e8ae23d,US_CORE_PCE_MOM,inflation,2021-02-26 13:30:00+00:00,2021-02-26,0.2,True,-1.0,,0.12149857925879118,1.646109783506203,-1.646109783506203
59e27646744a,AVGO_EPS,eps,2021-03-04 21:18:53+00:00,2021-03-04,0.005,False,1.0,post_market,,,
4f91abaa25d4,US_UNEMP_RATE,labour,2021-03-05 13:30:00+00:00,2021-03-05,-0.1,True,1.0,,1.9006577808748213,-0.05261336417646564,-0.05261336417646564
5775ee1fbe2b,US_NFP,labour,2021-03-05 13:30:00+00:00,2021-03-05,182.0,True,-1.0,,3421.533846261222,0.053192517793993185,-0.053192517793993185
4716243e9634,US_CORE_CPI_MOM,inflation,2021-03-10 13:30:00+00:00,2021-03-10,-0.1,True,-1.0,,0.19364916731037085,-0.5163977794943223,0.5163977794943223
4db8ce07810b,US_CPI_MOM,inflation,2021-03-10 13:30:00+00:00,2021-03-10,0.0,False,-1.0,,0.12360330811826103,0.0,-0.0
4e9b2fef0f04,US_CORE_PPI_MOM,inflation,2021-03-12 13:30:00+00:00,2021-03-12,0.0,False,-1.0,,0.42088342464732104,0.0,-0.0
87e37fac63fd,US_PPI_MOM,inflation,2021-03-12 13:30:00+00:00,2021-03-12,0.1,True,-1.0,,0.41896982503005425,0.23868067346574812,-0.23868067346574812
dc19a098ff28,ADBE_EPS,eps,2021-03-23 20:07:40+00:00,2021-03-23,0.35,True,1.0,post_market,,,
6c6a7f9f4c69,US_CORE_PCE_MOM,inflation,2021-03-26 12:30:00+00:00,2021-03-26,0.0,False,-1.0,,0.13562026818605374,0.0,-0.0
4099842239bf,MU_EPS,eps,2021-03-31 20:00:40+00:00,2021-03-31,0.03,True,1.0,post_market,,,
b0bc8c9d2b4b,US_NFP,labour,2021-04-02 12:30:00+00:00,2021-04-02,264.0,True,-1.0,,3244.7272509924983,0.08136277091371781,-0.08136277091371781
ae3a71af9da9,US_UNEMP_RATE,labour,2021-04-02 12:30:00+00:00,2021-04-02,0.0,False,1.0,,1.8254071083216235,0.0,0.0
c91c3167432c,US_PPI_MOM,inflation,2021-04-09 12:30:00+00:00,2021-04-09,0.5,True,-1.0,,0.39193253387682825,1.2757297666876868,-1.2757297666876868
bb807527bda4,US_CORE_PPI_MOM,inflation,2021-04-09 12:30:00+00:00,2021-04-09,0.5,True,-1.0,,0.39686269665968865,1.2598815766974238,-1.2598815766974238
2ebdad24b3b8,US_CPI_MOM,inflation,2021-04-13 12:30:00+00:00,2021-04-13,0.1,True,-1.0,,0.11737877907772672,0.8519427513705974,-0.8519427513705974
acb87a7009f9,US_CORE_CPI_MOM,inflation,2021-04-13 12:30:00+00:00,2021-04-13,0.1,True,-1.0,,0.18737959096740264,0.533676050223615,-0.533676050223615
5c53537ce526,NFLX_EPS,eps,2021-04-20 20:06:16+00:00,2021-04-20,0.08,True,1.0,post_market,,,
3880853a9111,INTC_EPS,eps,2021-04-22 20:05:36+00:00,2021-04-22,0.25,True,1.0,post_market,,,
612f43708b7c,TSLA_EPS,eps,2021-04-26 20:53:31+00:00,2021-04-26,0.05,True,1.0,post_market,,,
