sess,sym,rk,yr,t0.1h1_r,t0.1h1_mae,t0.1h2_r,t0.1h2_mae,t0.1h3_r,t0.1h3_mae,t0.2h1_r,t0.2h1_mae,t0.2h2_r,t0.2h2_mae,t0.2h3_r,t0.2h3_mae,t0.5h1_r,t0.5h1_mae,t0.5h2_r,t0.5h2_mae,t0.5h3_r,t0.5h3_mae
2020-01-22,NFLX,10,2020,0.10880208900010402,0.06532389765923075,0.10607915136677804,0.06804572672836073,0.07885791978246015,0.09526401741970503,-0.010867202782005592,0.13602481092551688,-0.04345464421510181,0.1686707655476294,-0.0841590878240761,0.20947820882528667,-0.27637782474394523,0.4026334403395282,-0.3114927273219714,0.4379998911801408,-0.27637782474394523,0.4026334403395282
2020-01-29,AAPL,1,2020,-0.1842076322445818,0.7230836907511362,-0.17043736426862743,0.7092393545372166,-0.16768376491285153,0.7064709439771333,-0.15618149934238934,0.5704207886687351,-0.17532805522834094,0.5897103805560855,-0.16438806542644624,0.5786877566204662,-0.4480507062262662,0.865275978946789,-0.4616477272727293,0.8790542588663186,-0.4806773180390578,0.898343850753669
2020-01-30,MSFT,2,2020,0.1670500602475533,1.3939023713000598,0.14236824093087908,1.4188926528572177,0.10125889436234381,1.4605431221191845,0.1670500602475533,1.3939023713000598,0.14236824093087908,1.4188926528572177,0.10125889436234381,1.4605431221191845,-0.8825881898667953,0.9267175993601162,-0.9577698040298177,1.001932100469216,-0.9410530963682495,0.9852080803620655
2020-01-31,AMZN,3,2020,2.4799436253252427,0.26832176929747487,2.421760590117694,0.32814449205402774,2.45086078351634,0.2982242103836352,2.352909248805901,0.3989361702127603,2.339657465461553,0.4125614092229224,2.3078385056066852,0.44527707637587177,2.0125272331154687,0.2287581699346397,2.0151956646060842,0.22602870292203203,2.0312032020039728,0.20965502219076892
2020-02-04,GOOGL,4,2020,-2.8179091334379125,3.0270508269352403,-2.846211015992739,3.0554102782900605,-2.8547046192809455,3.0639211583989523,-2.8179091334379125,3.0270508269352403,-2.846211015992739,3.0554102782900605,-2.8547046192809455,3.0639211583989523,1.7704900171601423,0.10634236789006657,1.7788068646145572,0.09816218574467683,1.8231863519921454,0.054534547635931574
2020-02-14,NVDA,7,2020,-0.2707346280002021,0.5805175196542889,-0.028549923434295632,0.46151439299124686,-0.03633343714315451,0.46933667083854935,-0.03633343714315451,0.46933667083854935,-0.07782504928919298,0.5110554860241923,-0.07782504928919298,0.5110554860241923,,,,,,
2020-04-22,NFLX,10,2020,2.3189777567439673,0.619047619047608,2.1859860569537926,0.7500000000000062,2.267553584626758,0.6696428571428603,2.3189777567439673,0.619047619047608,2.1859860569537926,0.7500000000000062,2.267553584626758,0.6696428571428603,2.0352781546811416,0.8988095238095184,2.08948176130328,0.5907674038889699,1.8340251405693397,0.1444575471698073
2020-04-29,GOOGL,4,2020,2.2326138404950013,0.389294403892948,2.2530230435774623,0.3692571919278631,2.235528942115761,0.38643194504079936,2.2326138404950013,0.389294403892948,2.2530230435774623,0.3692571919278631,2.235528942115761,0.38643194504079936,2.2326138404950013,0.389294403892948,2.2530230435774623,0.3692571919278631,2.235528942115761,0.38643194504079936
2020-04-30,MSFT,2,2020,-1.1854011386451813,2.066080902787526,-1.1010790574763285,1.9790584734581618,-1.12829544829105,2.007130224854725,-1.1854011386451813,2.066080902787526,-1.1010790574763285,1.9790584734581618,-1.12829544829105,2.007130224854725,-1.1854011386451813,2.066080902787526,-1.1010790574763285,1.9790584734581618,-1.12829544829105,2.007130224854725
2020-05-01,AAPL,1,2020,1.2832497662955689,0.6090479023257211,1.3447328935820901,0.5463862072870418,1.1628566566453058,0.7317488229621638,1.2832497662955689,0.6090479023257211,1.3447328935820901,0.5463862072870418,1.1628566566453058,0.7317488229621638,1.2832497662955689,0.6090479023257211,1.3447328935820901,0.5463862072870418,1.1628566566453058,0.7317488229621638
2020-05-07,PYPL,8,2020,1.4224354325877098,0.37233000195964205,1.4280932723418571,0.36673105456175303,1.3856748543229047,0.4087231600459207,1.3856748543229047,0.4087231600459207,1.2727323363132648,0.11989739014053313,1.3545905568872252,0.016726137377331973,1.092546773790004,0.2061453603365182,0.997083738369664,0.30086079616680195,0.9914738800788747,0.30643229239211145
2020-05-22,NVDA,7,2020,0.40830486763450136,1.3688254071308803,0.39490887744484393,1.3823513498890883,0.3119334541964447,1.466212194989991,0.3119334541964447,1.466212194989991,0.3119334541964447,1.466212194989991,0.25847367299083324,1.5203159660228227,0.03722315280103583,1.7448466158091147,0.039883009837815564,1.742141427257482,0.034563437200896274,1.7475518043607696
