sess,family,z,absz,agree,A_close,B_1100,C_02,D_04
2020-12-04,labour,0.00596301998035215,0.0572496730602001,0.0,-0.4731355252606262,-0.2606255012028935,-0.2,-0.4
2020-12-10,inflation,-0.5611452616410313,0.4629100498862757,1.0,-1.1194258100034604,-1.3151723997308462,-0.2,-0.4
2022-01-07,labour,-0.06488498902881057,0.895105558326105,1.0,1.0711735301118797,1.2124097437118175,0.2,0.4
2022-01-12,inflation,-0.4433237900363197,0.4948716593053935,0.0,-0.25258071601141907,-0.42515139154717385,0.2,0.4
2022-01-13,inflation,0.703452458112659,0.703452458112659,1.0,-2.8231937673412477,-1.100434216920354,-0.2,-0.4
2022-01-27,eps,0.6741998624632421,0.6741998624632421,1.0,-2.3491221334077994,0.0,-0.2,-0.4
2022-01-28,eps,1.2924606552829938,1.2924606552829938,1.0,2.3706934766033694,0.232281858964134,-0.2,-0.4
2022-02-02,eps,1.1467480514847646,1.1467480514847646,1.0,-0.10575191262248707,-0.5965068821361941,0.2,-0.4
2022-02-03,eps,-0.5417455398054639,0.5417455398054639,1.0,1.4440801209629428,-0.11552640967702477,0.2,-0.4
2022-02-04,eps,1.7508167009269775,6.00981846101697,0.0,-1.0392828260233689,0.17894936077224033,-0.2,0.4
2022-02-10,inflation,-0.7027016102126665,0.3938421427075865,1.0,0.3473575410474994,-0.9505735635494839,-0.2,-0.4
2022-02-15,inflation,-1.2732623286518137,0.8627635262664033,1.0,-0.932706922758042,-0.3402653033024672,-0.2,-0.4
2022-02-17,eps,1.995243360633492,1.995243360633492,0.0,2.073792447939171,0.7431089605115404,0.2,0.4
2022-03-04,labour,-0.6503451302904588,0.4742069502722874,0.0,-0.9079187708176617,-1.1944414598330955,0.2,-0.4
2022-03-15,inflation,1.2061754214176252,1.5536132999283587,1.0,2.0072404708201486,0.7392103716901355,-0.2,-0.4
2022-04-01,labour,-0.14620327317265386,0.4742069502722874,1.0,0.3236517306144382,0.13918701368392794,0.2,0.4
2022-04-12,inflation,0.8691172572598894,0.8691172572598894,1.0,-1.5673815197246532,-0.4024357956049829,0.2,0.4
2022-04-13,inflation,-1.3920982498899885,1.6346451533369355,1.0,-2.0284812396872187,-0.9882344501040308,-0.2,-0.4
2022-04-21,eps,3.934671710407681,3.934671710407681,1.0,-3.3423731201352447,-0.6832670024301768,-0.2,0.4
