sym,filed,asof,float_usd
AAPL,2009-07-22,2009-03-28,94593000000.0
AAPL,2009-10-27,2009-03-28,94593000000.0
AAPL,2010-01-25,2009-03-28,94593000000.0
AAPL,2010-10-27,2010-03-27,208565000000.0
AAPL,2011-10-26,2011-03-25,322921000000.0
AAPL,2012-10-31,2012-03-30,560356000000.0
AAPL,2013-10-30,2013-03-29,416005000000.0
AAPL,2014-10-27,2014-03-28,462522000000.0
AAPL,2015-10-28,2015-03-27,709923000000.0
AAPL,2016-10-26,2016-03-25,578807000000.0
AAPL,2017-11-03,2017-03-31,747509000000.0
AAPL,2018-11-05,2018-03-30,828880000000.0
AAPL,2019-10-31,2019-03-29,874698000000.0
AAPL,2020-10-30,2020-03-27,1070633000000.0
AAPL,2021-10-29,2021-03-26,2021360000000.0
AAPL,2022-10-28,2022-03-25,2830067000000.0
AAPL,2023-11-03,2023-03-31,2591165000000.0
AAPL,2024-11-01,2024-03-29,2628553000000.0
AAPL,2025-10-31,2025-03-28,3253431000000.0
MSFT,2010-07-30,2009-12-31,235244858633.0
MSFT,2011-07-28,2010-12-31,208370414170.0
MSFT,2012-07-26,2011-12-31,195333665376.0
MSFT,2013-07-30,2012-12-31,202945146270.0
MSFT,2014-07-31,2013-12-31,284539953282.0
MSFT,2015-07-31,2014-12-31,365312377595.0
MSFT,2016-07-28,2015-12-31,424500000000.0
MSFT,2017-08-02,2016-12-31,466500000000.0
MSFT,2018-08-03,2017-12-31,650100000000.0
MSFT,2019-08-01,2018-12-31,769600000000.0
MSFT,2020-07-30,2019-12-31,1200000000000.0
MSFT,2021-07-29,2020-12-31,1700000000000.0
MSFT,2022-07-28,2021-12-31,2500000000000.0
MSFT,2023-07-27,2022-12-31,1800000000000.0
MSFT,2024-07-30,2023-12-31,2800000000000.0
MSFT,2025-07-30,2024-12-31,3100000000000.0
MSFT,2026-07-29,2025-12-31,3600000000000.0
GOOGL,2017-02-03,2016-06-30,413800000000.0
GOOGL,2018-02-06,2017-06-30,554300000000.0
GOOGL,2019-02-05,2018-06-29,680000000000.0
GOOGL,2020-02-04,2019-06-28,663000000000.0
GOOGL,2021-02-03,2020-06-30,849700000000.0
GOOGL,2022-02-02,2021-06-30,1451100000000.0
GOOGL,2023-02-03,2022-06-30,1256100000000.0
GOOGL,2024-01-31,2023-06-30,1331200000000.0
GOOGL,2025-02-05,2024-06-28,2000000000000.0
GOOGL,2026-02-05,2025-06-30,1900000000000.0
AMZN,2009-07-24,2008-06-30,23846135567.0
AMZN,2010-01-29,2009-06-30,27774449254.0
AMZN,2011-01-28,2010-06-30,39007666822.0
AMZN,2012-02-01,2011-06-30,74662887792.0
AMZN,2013-01-30,2012-06-30,83001105646.0
AMZN,2014-01-31,2013-06-30,102548300912.0
AMZN,2015-01-30,2014-06-30,122614381040.0
AMZN,2016-01-29,2015-06-30,166381236673.0
AMZN,2017-02-10,2016-06-30,280129378534.0
AMZN,2018-02-02,2017-06-30,387327844190.0
AMZN,2019-02-01,2018-06-30,693894417636.0
AMZN,2020-01-31,2019-06-30,786284080955.0
AMZN,2021-02-03,2020-06-30,1174367787295.0
AMZN,2022-02-04,2021-06-30,1507362696975.0
AMZN,2023-02-03,2022-06-30,944744113598.0
AMZN,2024-02-02,2023-06-30,1183684965587.0
AMZN,2025-02-07,2024-06-30,1815014489485.0
AMZN,2026-02-06,2025-06-30,2118061430046.0
NVDA,2009-08-20,2008-07-27,6100000000.0
NVDA,2009-11-19,2009-07-26,6746000000.0
NVDA,2010-03-18,2009-07-26,6700000000.0
NVDA,2010-05-21,2009-07-26,6700000000.0
NVDA,2010-08-30,2009-07-26,6700000000.0
NVDA,2010-12-07,2009-07-26,6700000000.0
