sess,sym,core,hour,plain,stop
2020-07-23,TSLA,True,16,2.299410903892174,-0.37136759107330164
2020-07-31,AAPL,True,18,-0.05515526564954243,-0.22482144697921758
2020-07-31,AMZN,True,19,-0.07352072774700069,-0.22710917745545345
2020-07-31,GOOGL,True,18,-0.12169796825295398,-0.29354244652555206
2020-07-31,META,True,19,-0.20646874347831634,-0.3117772346301617
2020-08-20,NVDA,True,16,-1.4448105175121961,-0.18271824791356028
2020-10-22,TSLA,True,16,0.11457351449113418,-0.16397520042221725
2020-10-30,AAPL,True,16,2.160353209510346,0.6160174084257508
2020-10-30,AMZN,True,16,1.6085196996115103,0.05547356203725595
2020-10-30,GOOGL,True,16,2.3651604378799207,0.8240573869683687
2020-10-30,META,True,16,3.0317994562272577,1.5012188728041553
2020-11-19,NVDA,True,16,-1.0246183451178892,-0.31212338422794694
2022-01-27,TSLA,True,16,-0.9695153824863079,0.42695038036790756
2022-01-28,AAPL,True,16,2.9641931291098933,0.9952931877488691
2022-02-02,GOOGL,True,16,0.6008125809940257,0.6241094361116195
2022-02-03,META,True,16,2.810235237730674,0.4663956055503182
2022-02-04,AMZN,True,16,-0.09070969335346346,0.3856888912391332
2022-02-17,NVDA,True,16,-3.0682934976777765,-0.20986445743459425
2022-04-21,TSLA,True,16,-2.600517213825404,-0.17830663950810788
2022-04-27,GOOGL,True,16,-0.15995703253974813,0.569956704367458
2022-04-28,META,True,16,2.654017721409452,0.4866401282050514
2022-04-29,AAPL,True,16,3.9662117047036705,1.2451205251029829
2022-04-29,AMZN,True,16,3.2957055251644496,0.5556157359764669
2022-05-26,NVDA,True,16,3.2403421708748326,-0.018772500507158174
2022-07-21,TSLA,True,16,-1.931503238975285,-0.34751427998291895
2022-07-27,GOOGL,True,16,3.745704725933252,3.745704725933252
2022-07-28,META,True,16,1.1985700049225834,-0.14200569428892695
2022-07-29,AAPL,True,16,-0.7811432048224765,-0.37909077182451956
2022-07-29,AMZN,True,16,0.9935273285705426,0.38041907408974396
2022-08-25,NVDA,True,16,-1.758601130487869,-0.19460104851802829
2022-10-20,TSLA,True,17,0.36794960201095295,-0.1127894745638569
2022-10-26,GOOGL,True,16,1.8813961712755178,1.2795598036017375
2022-10-27,META,True,16,1.6158545525206347,-0.12818823933080647
2022-10-28,AAPL,True,16,4.974597044617801,0.7903836400382058
2022-10-28,AMZN,True,16,4.552154508129691,0.3847793651257758
2022-11-17,NVDA,True,16,0.5784357600324364,0.005449733760976017
2024-01-25,TSLA,True,17,-0.24444743203739794,-0.23165970062102303
2024-01-31,GOOGL,True,16,1.8367482556964632,0.6864921842092975
2024-02-02,AAPL,True,16,0.6390699433802105,-0.21946778721024796
2024-02-02,AMZN,True,16,1.149650736398966,0.2867573129789802
2024-02-02,META,True,16,1.0024189936217454,0.140781583461691
2024-02-22,NVDA,True,16,3.3559029782491923,1.3254139104710516
2024-04-24,TSLA,True,16,-0.04251727395155891,0.05088374058723755
2024-04-25,META,True,16,-0.2275012658769393,0.3672826079204716
2024-04-26,GOOGL,True,16,1.0479749961453955,0.6642144509437342
2024-05-01,AMZN,True,16,0.5512483980387395,0.2060888035162578
2024-05-03,AAPL,True,16,1.7475724204307097,0.2115947071705815
2024-05-23,NVDA,True,16,-1.152560588416851,-0.3780329366165791
2024-07-24,GOOGL,True,16,3.50402561488391,3.50402561488391
2024-07-24,TSLA,True,16,3.5451386727289758,3.5451386727289758
2024-08-01,META,True,16,-3.0120462889533184,-0.18303451323004039
2024-08-02,AAPL,True,16,-1.9663301007732947,0.040716640334736987
2024-08-02,AMZN,True,16,1.8940173665190407,1.8940173665190407
2024-08-29,NVDA,True,16,0.03156246902323856,0.9233323760982293
2024-10-24,TSLA,True,16,0.4051456011325616,-0.051801271021745254
2024-10-30,GOOGL,True,16,-1.0154538474822394,-0.12608966694999113
2024-10-31,META,True,16,2.31598910976738,-0.04297388668235147
2024-11-01,AAPL,True,16,-0.5322315156445212,-0.3600787391869975
2024-11-01,AMZN,True,16,0.26947140489812504,-0.1436107476112669
2024-11-21,NVDA,True,16,0.6766894937266121,0.18113222507389892
2026-01-29,META,True,16,-0.2820868085840478,0.8084549771789851
2026-01-29,TSLA,True,16,-0.7817443448476347,0.30333305237748576
2026-01-30,AAPL,True,16,1.0006776164404152,-0.2910118540077722
2026-02-05,GOOGL,True,16,-1.7370623656029816,-0.07496869989478405
2026-02-06,AMZN,True,16,-2.670527931289146,0.17930469105925662
2026-02-26,NVDA,True,16,1.0179700926743251,1.0179700926743251
2026-04-23,TSLA,True,16,0.5347031977892103,-0.06834066100882552
2026-04-30,AMZN,True,16,1.5111159503198968,0.1473277730161815
2026-04-30,GOOGL,True,16,-1.0246431992034566,0.19706719901735337
2026-04-30,META,True,16,-1.02648994977379,0.195242781556082
2026-05-01,AAPL,True,16,0.6427873488557223,-0.37313998753808475
2026-05-21,NVDA,True,16,-0.6378638596849617,-0.06454801598798632
2026-04-17,NFLX,True,16,1.149257049851271,1.149257049851271
2026-01-21,NFLX,True,16,1.1153774629716562,-0.34548895268402546
2024-10-18,NFLX,True,16,-0.6759422897595568,-0.34048279036245077
2024-07-19,NFLX,True,16,-1.061658210975136,0.12790572951715262
2024-04-19,NFLX,True,16,2.0402431628930184,0.010550411339194099
2024-01-24,NFLX,True,16,0.2540373797858875,0.2540373797858875
2022-10-19,NFLX,True,16,-1.3274638455760046,0.1387581157486384
2022-07-20,NFLX,True,16,1.2378368009688279,0.09885022858506787
2022-04-20,NFLX,True,16,0.5435604965002394,-0.26254554010827214
2022-01-21,NFLX,True,16,2.4999036209442216,0.2933305017054022
2020-10-21,NFLX,True,16,-0.10744504077077055,0.06186437441435544
2020-07-17,NFLX,True,16,0.7314084326599302,0.7314084326599302
2026-05-14,CSCO,True,16,0.5301607837470135,-0.007424604495898102
2026-02-12,CSCO,True,16,1.8526343274528512,-0.2598516258036643
2024-11-14,CSCO,True,16,0.580436855480615,-0.2086824131177334
2024-08-15,CSCO,True,16,-2.4321025339214764,-0.14549074140557394
2024-05-16,CSCO,True,16,-0.39186356777535236,-0.19693048216191666
2024-02-15,CSCO,True,16,0.08673643741334836,-0.3043583237019254
2022-11-17,CSCO,True,16,0.28488269952824385,-0.38983164195716125
2022-08-18,CSCO,True,16,-0.38404712268138574,-0.1929807482263124
2022-05-19,CSCO,True,16,-0.2625862191678485,-0.08622704102680956
2022-02-17,CSCO,True,16,2.769783693697414,2.769783693697414
2020-11-13,CSCO,True,16,-0.8575703886737784,-0.31028124702980886
2020-08-13,CSCO,True,16,0.19282858841354056,-0.37226972860257
2026-04-24,INTC,True,16,1.5183363470779865,1.5183363470779865
2026-01-23,INTC,True,16,-0.5148086076655511,-0.055890381425505176
2024-11-01,INTC,True,16,0.2607216691800307,-0.15232443686762354
2024-08-02,INTC,True,16,2.108315585048637,2.108315585048637
2024-04-26,INTC,True,16,0.11748865935166108,-0.26273807981456176
2024-01-26,INTC,True,16,0.261896269185824,0.0215017923755223
2022-10-28,INTC,True,16,3.8524791871455966,-0.2870073910118176
2022-07-29,INTC,True,16,0.9758036380246304,0.3628029799538357
2022-04-29,INTC,True,16,3.2648403278215943,0.5238759816913352
2022-01-27,INTC,True,16,-0.9097663633214848,0.48754194271476425
2020-10-23,INTC,True,16,0.19284979045925965,0.038443001398613674
2020-07-24,INTC,True,16,-0.9023871831450925,-0.0008329320115407768
2026-04-30,QCOM,True,16,0.9813065119073983,-0.37536374691452545
2026-02-05,QCOM,True,16,-1.6220694301249283,0.04196931308919627
2024-11-07,QCOM,True,16,1.3574110408330453,1.3574110408330453
2024-08-01,QCOM,True,16,-2.8731448156829376,-0.04008146562993753
2024-05-02,QCOM,True,16,0.7898366357413922,-0.13106833543214957
2024-02-01,QCOM,True,16,0.9977028563930013,0.0045344075535913575
2022-11-03,QCOM,True,16,-1.986279495677723,-0.11278009444356529
2022-07-28,QCOM,True,16,-1.3239020211488706,-0.09501042171662366
2022-04-28,QCOM,True,16,3.382662597706898,1.1999008177620007
2022-02-03,QCOM,True,16,3.7739756832518845,1.4533777273619597
2020-11-05,QCOM,True,16,2.166922623743761,-0.07682945807714336
2020-07-30,QCOM,True,16,0.28990387018317243,0.1868502557439422
2026-04-23,TXN,True,16,0.4457015577222778,-0.19577918243778303
2026-01-28,TXN,True,16,0.07307265980349698,-0.07235318457340378
2024-10-23,TXN,True,16,1.2718598663719605,1.2718598663719605
2024-07-24,TXN,True,16,3.6115709680230035,3.6115709680230035
2024-04-24,TXN,True,16,0.0014412734446578312,0.0948833631767565
2024-01-24,TXN,True,16,0.26546690009368046,0.26546690009368046
2022-10-26,TXN,True,16,1.090696799761992,0.48401046868570274
2022-07-27,TXN,True,16,4.05007633129435,4.05007633129435
2022-04-27,TXN,True,16,-0.5348274200134506,0.19781817754427333
2022-01-26,TXN,True,16,-0.5058627561569162,0.7337444780204039
2020-10-21,TXN,True,16,-0.09886375906991152,0.07046020066048264
2020-07-22,TXN,True,16,-0.1559295044181508,-0.3076297887872226
2026-06-04,AVGO,True,16,0.1565863590751837,0.19261258629960087
2026-03-05,AVGO,True,16,-0.5608692118026393,-0.1946383201971602
2024-12-13,AVGO,True,16,0.388753981785972,0.035280561985451264
2024-09-06,AVGO,True,16,2.3611430330636285,-0.15411580717195061
2024-06-13,AVGO,True,16,0.004568283200900858,-0.031161306079818818
2024-03-08,AVGO,True,16,-1.2329579222180254,0.05223722912253148
2022-12-09,AVGO,True,16,0.47266238810645955,-0.2670620120856393
2022-09-02,AVGO,True,16,-1.6792528426977538,-0.17727408717240767
2022-03-04,AVGO,True,16,-1.7811139006801202,-0.2457504512193509
2020-12-11,AVGO,True,16,-0.28218867542944004,-0.28420301389349145
2020-09-04,AVGO,True,16,1.3156637496225865,0.24550053699261554
2026-03-13,ADBE,True,16,-0.7962949420727838,-0.2189145781812507
2024-12-12,ADBE,True,16,0.34064429538051,0.34064429538051
2024-09-13,ADBE,True,16,0.35156258029769294,-0.2342894026570952
2024-06-14,ADBE,True,16,-0.5259132827091229,-0.37783701679428017
2024-03-15,ADBE,True,16,0.9337984491998963,-0.18805764167910688
2022-12-16,ADBE,True,16,0.9177658732822724,-0.12396362656221793
2022-06-17,ADBE,True,16,0.7483513216727689,-0.03900655688443555
