sess,yr,series,az,agree,impulse,r5,mae5,r15,mae15,r30,mae30,r60,mae60,r_open,mae_open
2020-12-04,2020,US_NFP,0.0572496730602001,0.0,0.02000960461021606,-0.046031301284865656,0.10807348997319277,0.06204218868830491,0.10807348997319277,0.1160789336749013,0.10807348997319277,0.1721170395869165,0.10807348997319277,0.1721170395869165,0.10807348997319277
2020-12-10,2020,US_CPI_MOM,0.659380473395787,1.0,0.0020299210360730235,0.12585765904754576,0.014209735698922366,0.20299622427022435,0.014209735698922366,0.36945312817181497,0.014209735698922366,0.44456173115180464,0.014209735698922366,0.44456173115180464,0.014209735698922366
2022-01-07,2022,US_UNEMP_RATE,0.895105558326105,0.0,0.25857829528690424,-0.6550632911392351,0.749242786545512,-0.7468354430379742,1.1264720942140372,-0.6424050632911404,1.1264720942140372,-0.2927215189873378,1.1264720942140372,-0.2927215189873378,1.1264720942140372
2022-01-12,2022,US_CPI_MOM,0.4948716593053935,1.0,0.07870669164292687,-0.39226806559855554,0.4206247932321938,-0.4710367534697557,0.5970666540636715,-0.641177119271541,0.666383099390333,-0.4174740457173476,0.6931644532665482,-0.4174740457173476,0.6931644532665482
2022-01-13,2022,US_PPI_MOM,0.703452458112659,1.0,0.10375890204217253,0.05810757754221019,0.018849253098340846,0.06438947781703952,0.04084903140662011,0.13506085590890837,0.04084903140662011,0.18531605810758744,0.04084903140662011,0.18531605810758744,0.04084903140662011
2022-02-04,2022,US_NFP,1.200570988449998,1.0,0.6689020426318137,0.27039594922756427,0.27039594922755317,0.14467044417271202,0.27039594922755317,0.8766340009989104,0.27039594922755317,-0.09300242839673789,0.34273117131391473,-0.09300242839673789,0.34273117131391473
2022-02-10,2022,US_CPI_MOM,1.0115610777177466,1.0,0.7270004990850065,0.5245253297136099,0.12903658270910778,0.6200459169138473,0.12903658270910778,1.0071556650411373,0.12903658270910778,1.099324652690492,0.12903658270910778,1.099324652690492,0.12903658270910778
2022-02-15,2022,US_PPI_MOM,1.6837611310372242,1.0,0.22542676211453339,-0.06553871095704711,0.12072920439454293,-0.07243752263672576,0.13452682775392244,0.1431503423535263,0.13452682775392244,0.14659974819337673,0.13452682775392244,0.14659974819337673,0.13452682775392244
2022-03-04,2022,US_NFP,0.8264833103086302,0.0,0.21903838557937316,-0.030455034037979445,0.1004232121081694,-0.17914725904694118,0.2298355239531702,-0.2902185596560414,0.4661543168769544,0.03941239699032373,0.5385349687505592,0.03941239699032373,0.5385349687505592
2022-03-15,2022,US_CORE_PPI_MOM,1.5536132999283587,1.0,0.3588402588230899,0.10270259989728636,0.09328003045878663,0.04374369995625571,0.09328003045878663,0.02662659997336725,0.09328003045878663,0.3423419996576582,0.12568316416887715,0.3423419996576582,0.12568316416887715
