sess,delay,dirn,absz,agree,gap,mfe,mae,r_close,r_open
2022-01-27,0,1.0,0.6741998624632421,1.0,0.7022895348218539,1.503971259003567,2.5371085990826714,-1.4634661782575775,0.9069615906169171
2022-01-27,5,1.0,0.6741998624632421,1.0,0.9292922127440706,1.275676055595576,2.7682473184297063,-1.6850872414823193,0.6800091370736672
2022-01-27,15,1.0,0.6741998624632421,1.0,1.237873978044579,0.9669790663046296,3.082451515042073,-1.9847595690636766,0.3731277918892939
2022-01-27,30,1.0,0.6741998624632421,1.0,1.2573820206785324,0.9475269721171298,3.1023149987359666,-2.003642987249543,0.3537901078884742
2022-01-27,60,1.0,0.6741998624632421,1.0,1.1545214322450148,1.0501770749324901,2.9975802665318296,-1.9039938286756208,0.4558364599039244
2022-01-28,0,1.0,1.2924606552829938,1.0,1.220514653323801,1.9596419681160882,2.384137083363469,1.9260985470402447,-0.43429903077167875
2022-01-28,5,1.0,1.2924606552829938,1.0,1.179413867047896,2.0010596962204197,2.3425638059431764,1.967502649240549,-0.39385376192158095
2022-01-28,15,1.0,1.2924606552829938,1.0,1.1526090064331695,2.028089391396515,2.315450798929941,1.9945234519918698,-0.36745870506138534
2022-01-28,30,1.0,1.2924606552829938,1.0,1.0078627591136424,2.174297643478873,2.1690405610584884,2.1406836034250976,-0.22468332035949778
2022-01-28,60,1.0,1.2924606552829938,1.0,0.8005718370264425,2.384413558360521,1.9593666401561682,2.350730392852074,-0.019500780031200815
2022-02-02,0,1.0,1.1467480514847646,1.0,0.8420315470037076,0.9275947022933551,1.192985978650074,-0.03968319582003943,0.06613865970006572
2022-02-02,5,1.0,1.1467480514847646,1.0,0.7669990329142617,1.0027467981599703,1.1176923334337285,0.034748651421390164,0.14064930337227555
2022-02-02,15,1.0,1.1467480514847646,1.0,0.8186880981758682,0.9509633672372342,1.16956128902721,-0.016538493343254412,0.08930786405358937
2022-02-02,30,1.0,1.1467480514847646,1.0,0.7986794277520248,0.9710022662233531,1.1494829836361742,0.0033083552511969927,0.10917572328916769
2022-02-02,60,1.0,1.1467480514847646,1.0,0.8587054390235771,0.9109094215477231,1.2097178998092595,-0.056208566846860375,0.04959579427663563
2022-02-03,0,-1.0,0.5417455398054639,1.0,0.7072632423755998,2.697795071335918,0.15997305716932697,2.3137155847436253,0.8823777048076131
2022-02-03,5,-1.0,0.5417455398054639,1.0,0.6353665061530234,2.772157371379169,0.08750084135424885,2.384397926903148,0.954095712458769
2022-02-03,15,-1.0,0.5417455398054639,1.0,0.7825040128410898,2.6199740596627663,0.23592854735423607,2.2396359959555134,0.8072126727334039
2022-02-03,30,-1.0,0.5417455398054639,1.0,0.8995452113429669,2.498919152615642,0.35431078117091896,2.1241774928294266,0.6900624261852562
2022-02-03,60,-1.0,0.5417455398054639,1.0,1.2122124130551137,2.175529615218341,0.67193608990741,1.8143966961731817,0.37574259939406884
2022-02-04,0,1.0,6.00981846101697,1.0,0.6171471435634235,0.48120096917940725,2.729282344954842,-0.5049221437164353,-1.528321388027587
2022-02-04,5,1.0,6.00981846101697,1.0,0.6597678026492915,0.43865591762075606,2.7727976884649452,-0.5470496578822592,-1.5700155816001593
2022-02-04,15,1.0,6.00981846101697,1.0,0.734780162640436,0.3638640671540738,2.849384693042767,-0.621107500676954,-1.643311670728409
2022-02-04,30,1.0,6.00981846101697,1.0,0.6955691562814392,0.402945907051544,2.8093505770134586,-0.5824092101921585,-1.6050114280876993
2022-02-04,60,1.0,6.00981846101697,1.0,0.6853401981008256,0.4131461758580368,2.7989068945710294,-0.572309046885322,-1.595015154337187
2022-02-17,0,1.0,1.995243360633492,1.0,0.04113674539782952,0.19189254017750734,3.1347186881538036,-2.9143679539457956,-0.8583764520439963
2022-02-17,5,1.0,1.995243360633492,1.0,0.1268382983099725,0.10613530539578253,3.2230703986429132,-2.9974664475486135,-0.9432347302108957
2022-02-17,15,1.0,1.995243360633492,1.0,0.1268382983099725,0.10613530539578253,3.2230703986429132,-2.9974664475486135,-0.9432347302108957
2022-02-17,30,1.0,1.995243360633492,1.0,0.21082582016385132,0.022235525528091493,3.3096550749222464,-3.0787650731206706,-1.0262550243735569
2022-02-17,60,-1.0,1.995243360633492,0.0,0.078845428679164,3.0110262934690324,0.18869219157404693,2.797790585975024,0.7393303142582686
2022-04-21,0,1.0,3.934671710407681,1.0,0.05156380576447628,1.5318997689710345,2.8326023391812782,-2.456015638883957,0.9170072862981993
2022-04-21,5,1.0,3.934671710407681,1.0,0.09423730019024745,1.4886133513340782,2.876461988304091,-2.4976018758659846,0.8739830177283636
2022-04-21,15,1.0,3.934671710407681,1.0,0.1226862964740949,1.459776238678745,2.9057017543859587,-2.5253063399040987,0.8453205469721281
2022-04-21,30,1.0,3.934671710407681,1.0,0.11201792286765766,1.4705882352941124,2.894736842105261,-2.5149190110826947,0.8560670645069601
2022-04-21,60,1.0,3.934671710407681,1.0,0.09957148699346607,1.4832051441462157,2.881944444444451,-2.502797662397638,0.8686075634580792
2022-04-27,0,-1.0,0.4135707001008418,1.0,0.9398785269470245,0.05047269621261119,2.8754923456023596,-0.9080502144007463,-1.4183433904422005
2022-04-27,5,-1.0,0.4135707001008418,1.0,0.5785346351964371,0.019336001701564243,2.5015949117482172,-0.5413033812128987,-1.049741914280733
