event_id,event_type,series,release_date_et,release_ts_et,release_ts_utc,ts_source,unit,actual,consensus,previous,surprise_abs,surprise_dir,source_actual,source_consensus,collected_at,notes
6a95dd6452a7,macro_release,US_CPI_MOM,2020-06-10,2020-06-10T08:30:00-04:00,2020-06-10T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,-0.1,0.0,-0.8,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
8649d8c7bd3c,macro_release,US_CPI_MOM,2020-07-14,2020-07-14T08:30:00-04:00,2020-07-14T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.6,0.5,-0.1,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
e52cc0cb82e5,macro_release,US_CPI_MOM,2020-08-12,2020-08-12T08:30:00-04:00,2020-08-12T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.6,0.3,0.6,0.3,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
84bed47f8aad,macro_release,US_CPI_MOM,2020-09-11,2020-09-11T08:30:00-04:00,2020-09-11T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.3,0.6,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
40d181fd3d7c,macro_release,US_CPI_MOM,2020-10-13,2020-10-13T08:30:00-04:00,2020-10-13T12:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.2,0.4,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
06200a52dc2b,macro_release,US_CPI_MOM,2020-11-12,2020-11-12T08:30:00-05:00,2020-11-12T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.0,0.1,0.2,-0.1,-1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
348d5f713469,macro_release,US_CPI_MOM,2020-12-10,2020-12-10T08:30:00-05:00,2020-12-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.2,0.1,0.0,0.1,1,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
65f488a9ba8d,macro_release,US_CPI_MOM,2021-01-13,2021-01-13T08:30:00-05:00,2021-01-13T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.4,0.2,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
5fcdca51e986,macro_release,US_CPI_MOM,2021-02-10,2021-02-10T08:30:00-05:00,2021-02-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.3,0.3,0.4,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
0ecca185c37a,macro_release,US_CPI_MOM,2021-03-10,2021-03-10T08:30:00-05:00,2021-03-10T13:30:00+00:00,BLS 08:30 ET release convention (time NOT from source table),pct_mom,0.4,0.4,0.3,0.0,0,forexfactory_calendar_paste,forexfactory_calendar_paste,2026-08-01T18:12:25+00:00,
