sess,sym,rk,yr,15_none,15_1.0,15_1.6,16_none,16_1.0,16_1.6
2020-01-22,NFLX,10,2020,0.37263701890384304,0.37263701890384304,0.37263701890384304,0.10607915136677804,0.10607915136677804,0.10607915136677804
2020-01-29,AAPL,1,2020,-0.5250570415372247,-0.5250570415372247,-0.5250570415372247,-0.17043736426862743,-0.17043736426862743,-0.17043736426862743
2020-01-30,MSFT,2,2020,-0.32032854209446127,-1.0,-0.32032854209446127,0.14236824093087908,-1.0,0.14236824093087908
2020-01-31,AMZN,3,2020,2.074632532407661,2.074632532407661,2.074632532407661,2.421760590117694,2.421760590117694,2.421760590117694
2020-02-04,GOOGL,4,2020,-2.9012634534393955,-1.0,-1.6,-2.846211015992739,-1.0,-1.6
2020-02-14,NVDA,7,2020,-0.19984946404006942,-0.19984946404006942,-0.19984946404006942,-0.028549923434295632,-0.028549923434295632,-0.028549923434295632
2020-04-22,NFLX,10,2020,2.4518492260427793,2.4518492260427793,2.4518492260427793,2.1859860569537926,2.1859860569537926,2.1859860569537926
2020-04-29,GOOGL,4,2020,2.4041752224503776,2.4041752224503776,2.4041752224503776,2.2530230435774623,2.2530230435774623,2.2530230435774623
2020-04-30,MSFT,2,2020,-1.7947588636864076,-1.0,-1.6,-1.1010790574763285,-1.0,-1.6
2020-05-01,AAPL,1,2020,1.0927724145740725,1.0927724145740725,1.0927724145740725,1.3447328935820901,1.3447328935820901,1.3447328935820901
2020-05-07,PYPL,8,2020,1.3165234854401353,1.3165234854401353,1.3165234854401353,1.4280932723418571,1.4280932723418571,1.4280932723418571
2020-05-22,NVDA,7,2020,0.3495477226032051,-1.0,0.3495477226032051,0.39490887744484393,-1.0,0.39490887744484393
2020-06-12,ADBE,9,2020,-0.18431504893434703,-1.0,-0.18431504893434703,0.3089224059603879,-1.0,0.3089224059603879
2020-07-17,NFLX,10,2020,0.9744185495151658,0.9744185495151658,0.9744185495151658,0.8108300339031205,0.8108300339031205,0.8108300339031205
2020-07-23,MSFT,2,2020,-2.5351139765139252,-1.0,-1.6,-2.6295187658300745,-1.0,-1.6
