sess,rk,yr,imm_r,imm_mae,pb0.1_fire,pb0.2_fire,pb0.3_fire,pb0.1_r,pb0.1_mae,pb0.2_r,pb0.2_mae,pb0.3_r,pb0.3_mae
2020-01-22,10,2020,0.10607915136677804,0.06804572672836073,0,0,0,,,,,,
2020-01-29,1,2020,-0.17043736426862743,0.7092393545372166,0,0,0,,,,,,
2020-01-30,2,2020,0.14236824093087908,1.4188926528572177,0,0,0,,,,,,
2020-01-31,3,2020,2.421760590117694,0.32814449205402774,1,1,0,2.45350539500081,0.24399501165754955,2.45350539500081,0.24399501165754955,,
2020-02-04,4,2020,-1.6,3.0554102782900605,1,0,0,-1.6,2.7133058984910807,,,,
2020-02-14,7,2020,-0.028549923434295632,0.46151439299124686,0,0,0,,,,,,
2020-04-22,10,2020,2.1859860569537926,0.7500000000000062,1,1,1,2.388634009175661,0.5505952380952417,2.473561039191874,0.2851965182258498,2.473561039191874,0.2851965182258498
2020-04-29,4,2020,2.2530230435774623,0.3692571919278631,0,0,0,,,,,,
2020-04-30,2,2020,-1.6,1.9790584734581618,1,1,1,-0.3052333647816208,1.1649776829576464,-0.3052333647816208,1.1649776829576464,-0.3052333647816208,1.1649776829576464
2020-05-01,1,2020,1.3447328935820901,0.5463862072870418,0,0,0,,,,,,
2020-05-07,8,2020,1.4280932723418571,0.36673105456175303,1,1,0,1.4932038293002936,0.013957123715946373,1.4932038293002936,0.013957123715946373,,
2020-05-22,7,2020,0.39490887744484393,1.3823513498890883,1,1,1,0.4270652609101866,1.3498890872693847,0.43242666097216276,0.4935754714450402,0.43242666097216276,0.4935754714450402
2020-06-12,9,2020,0.3089224059603879,1.4271044524605703,0,0,0,,,,,,
2020-07-17,10,2020,0.8108300339031205,0.06880189798339487,0,0,0,,,,,,
2020-07-23,2,2020,-1.6,3.262161776594219,1,1,1,-1.6,3.129012316325075,-1.6,3.129012316325075,-1.6,3.129012316325075
2020-07-30,8,2020,-0.28572766874326305,0.4965103751932265,0,0,0,,,,,,
2020-07-31,1,2020,-1.6,1.9619305958282762,1,1,1,-1.6,1.9432232719109432,-1.6,1.9432232719109432,-1.6,1.9432232719109432
2020-08-20,7,2020,-1.3895332140411387,1.5883535467338339,1,0,0,-1.39177307471392,1.5905977996730547,,,,
2020-09-16,9,2020,1.7533120545669134,0.9050762974946336,0,0,0,,,,,,
2020-10-21,10,2020,-0.3442303991789797,0.9300820025895495,1,1,1,-0.02359451749212038,0.32925884479642065,-0.02359451749212038,0.32925884479642065,-0.02359451749212038,0.32925884479642065
2020-10-22,6,2020,0.08359053497942748,0.5144032921810648,1,0,0,0.20337386538791247,0.39390306559341504,,,,
2020-10-28,2,2020,3.4544036061026406,0.26655686546463997,0,0,0,,,,,,
2020-10-30,1,2020,1.2461198329574152,0.7726836240201873,0,0,0,,,,,,
2020-11-03,8,2020,1.54706598710026,0.17168933267066588,1,0,0,1.5974729241877261,0.08355350811823925,,,,
2020-11-19,7,2020,-0.9478672985782088,1.1058451816745585,1,1,0,-0.9712624304736295,1.1292769256699753,-0.9840279826372811,1.1420624552235692,,
2022-01-26,2,2022,0.042426063745160114,1.1877291834361925,0,0,0,,,,,,
2022-01-28,1,2022,-1.6,2.389559684766107,1,1,1,3.0504239178938075,1.2670811944183402,3.0504239178938075,1.2670811944183402,3.0504239178938075,1.2670811944183402
2022-02-02,3,2022,0.004962614967252144,1.1478097915202712,0,0,0,,,,,,
2022-02-03,6,2022,2.218214303774002,0.2578926964114103,0,0,0,,,,,,
2022-02-04,4,2022,-1.6,2.7832413709073744,0,0,0,,,,,,
2022-02-10,7,2022,2.149607347264737,0.17636097431119602,1,0,0,2.2081809112071804,0.05653475224476345,,,,
2022-02-17,5,2022,-1.6,3.2425077749505204,0,0,0,,,,,,
2022-03-04,8,2022,-1.6,2.492036042595802,0,0,0,,,,,,
2022-04-26,7,2022,3.713709453583258,0.5403104934959213,1,1,1,3.727960629775584,0.5254296867773123,3.6923247765171863,0.16472025318798877,3.6923247765171863,0.16472025318798877
